keyword,name,location,rating
Police,U.S. Marshals Service,"{'lat': 37.7819575, 'lng': -122.4184817}",5
Post-Office,United States Postal Service,"{'lat': 37.7666358, 'lng': -122.4110914}",2.2
Post-Office,United States Postal Service,"{'lat': 37.7774943, 'lng': -122.4171334}",3.4
Post-Office,United States Postal Service,"{'lat': 37.7819829, 'lng': -122.4184053}",3.2
Post-Office,USPS Mailbox,"{'lat': 37.7647092, 'lng': -122.4288876}",5
Post-Office,United States Postal Service,"{'lat': 37.7840085, 'lng': -122.4335762}",2.2
Post-Office,San Francisco General Delivery,"{'lat': 37.7847079, 'lng': -122.4125915}",2.6
Post-Office,USPS Mailbox,"{'lat': 37.778125, 'lng': -122.4196384}",4
Post-Office,USPS Mailbox,"{'lat': 37.7751972, 'lng': -122.4227838}",3.5
Post-Office,USPS Mailbox,"{'lat': 37.7673529, 'lng': -122.428809}",5
Post-Office,USPS Mailbox,"{'lat': 37.77863079999999, 'lng': -122.4235378}",5
Post-Office,Exoticerotic,"{'lat': 37.7666768, 'lng': -122.4073931}",0
Post-Office,Fillmore Postal,"{'lat': 37.7788504, 'lng': -122.4319745}",4.9
Post-Office,USPS Mailbox,"{'lat': 37.7806188, 'lng': -122.4179389}",5
Post-Office,USPS Mailbox,"{'lat': 37.7782343, 'lng': -122.4187205}",0
Post-Office,USPS Mailbox,"{'lat': 37.7792963, 'lng': -122.42505}",0
Post-Office,USPS Mailbox,"{'lat': 37.780759, 'lng': -122.4234935}",0
Post-Office,USPS Mailbox,"{'lat': 37.7779025, 'lng': -122.4217438}",0
Post-Office,USPS Mailbox,"{'lat': 37.7637011, 'lng': -122.4334944}",0
